model,x,lambda1,lambda2,gap,alpha,alpha_r2
spin_glass,1.0,1.0,1.0,0.0,nan,nan
spin_glass,1.01,1.0,1.0,0.0,nan,nan
spin_glass,1.0595,1.0,1.0,0.0,nan,nan
spin_glass,1.109,1.0,1.0,0.0,nan,nan
spin_glass,1.1585,1.0,1.0,0.0,nan,nan
spin_glass,1.208,1.0,1.0,0.0,nan,nan
spin_glass,1.2575,1.0,1.0,0.0,nan,nan
spin_glass,1.307,1.0,1.0,0.0,nan,nan
spin_glass,1.3565,1.0,1.0,0.0,nan,nan
spin_glass,1.406,1.0,1.0,0.0,nan,nan
spin_glass,1.4555,1.0,1.0,0.0,nan,nan
spin_glass,1.505,1.0,1.0,0.0,nan,nan
spin_glass,1.5545,1.0,1.0,0.0,nan,nan
spin_glass,1.604,1.0,1.0,0.0,nan,nan
spin_glass,1.6535,1.0,1.0,0.0,nan,nan
spin_glass,1.703,1.0,1.0,0.0,nan,nan
spin_glass,1.7525,1.0,1.0,0.0,nan,nan
spin_glass,1.802,1.0,1.0,0.0,nan,nan
spin_glass,1.8515,1.0,1.0,0.0,nan,nan
spin_glass,1.901,1.0,1.0,0.0,nan,nan
spin_glass,1.9505,1.0,1.0,0.0,nan,nan
spin_glass,2.0,1.0,1.0,0.0,nan,nan
free_fermion,0.02,0.4139563543262571,0.7058204017954832,0.2918640474692261,1.2858029219288667,0.9684820746849536
free_fermion,0.0695,0.41395635433120925,0.7058204017981033,0.2918640474668941,1.2858029219155889,0.9684820746865519
free_fermion,0.119,0.4139563543306565,0.7058204017987703,0.2918640474681138,1.2858029219176945,0.9684820746865074
free_fermion,0.1685,0.4139563543312723,0.7058204017980473,0.29186404746677497,1.285802921915403,0.9684820746866489
free_fermion,0.218,0.41395635433186684,0.705820401798976,0.29186404746710914,1.2858029219148819,0.9684820746872305
free_fermion,0.2675,0.4139563543317004,0.7058204017974727,0.2918640474657723,1.2858029219113727,0.968482074686427
free_fermion,0.317,0.41395635433828326,0.705820401800787,0.2918640474625037,1.2858029218619382,0.9684820746840194
free_fermion,0.3665,0.41395635430091715,0.7058204018000976,0.2918640474991805,1.2858029220267357,0.9684820746829531
free_fermion,0.416,0.4139563543316369,0.7058204017981244,0.29186404746648753,1.2858029219150464,0.968482074686844
free_fermion,0.4655,0.41395635433175365,0.7058204017981621,0.2918640474664084,1.2858029219176277,0.9684820746875449
free_fermion,0.515,0.41395635433087963,0.7058204017976529,0.2918640474667733,1.2858029219161058,0.968482074686464
free_fermion,0.5645,0.4139563543331091,0.7058204018075471,0.291864047474438,1.2858029218962532,0.9684820746853885
free_fermion,0.614,0.41395635433102806,0.7058204017976304,0.2918640474666023,1.285802921915808,0.9684820746863275
free_fermion,0.6635,0.4139563543310528,0.7058204017977294,0.2918640474666766,1.2858029219165155,0.9684820746865797
free_fermion,0.713,0.413956354331003,0.7058204017978502,0.29186404746684724,1.2858029219160803,0.9684820746866081
free_fermion,0.7625,0.41395635433080574,0.7058204017956269,0.29186404746482114,1.2858029219139409,0.9684820746861502
free_fermion,0.812,0.41395635433115224,0.7058204017979707,0.29186404746681843,1.2858029219164875,0.9684820746865221
free_fermion,0.8615,0.4139563543306011,0.7058204017989729,0.2918640474683718,1.2858029219175287,0.9684820746861451
free_fermion,0.911,0.4139563543306869,0.7058204017978529,0.291864047467166,1.285802921916673,0.9684820746862811
free_fermion,0.9605,0.41395635433126754,0.705820401798007,0.29186404746673944,1.2858029219148335,0.9684820746864797
free_fermion,1.0,0.4139563543338173,0.7058204018022823,0.29186404746846506,1.2858029219236928,0.9684820746893765
free_fermion,1.01,0.41395635433063743,0.7058204017976959,0.29186404746705846,1.2858029219179663,0.9684820746864404
free_fermion,1.0595,0.41395635433216627,0.7058204017983931,0.29186404746622685,1.2858029219147362,0.9684820746872362
free_fermion,1.109,0.4139563543314462,0.7058204017979214,0.2918640474664752,1.2858029219151177,0.9684820746867316
free_fermion,1.1585,0.4139563543295426,0.705820401798871,0.29186404746932837,1.285802921923693,0.9684820746863133
free_fermion,1.208,0.4139563543308356,0.7058204017972127,0.2918640474663771,1.2858029219146152,0.9684820746861897
free_fermion,1.2575,0.41395635433034295,0.7058204017961588,0.29186404746581585,1.2858029219151954,0.9684820746861059
free_fermion,1.307,0.4139563543310598,0.7058204017978207,0.29186404746676087,1.2858029219154568,0.9684820746864645
free_fermion,1.3565,0.41395635433003325,0.7058204017984925,0.29186404746845923,1.2858029219214173,0.9684820746863371
free_fermion,1.406,0.4139563543308772,0.7058204017983303,0.2918640474674531,1.2858029219140095,0.968482074686278
free_fermion,1.4555,0.41395635433130085,0.7058204017982243,0.2918640474669234,1.2858029219150784,0.9684820746867843
free_fermion,1.505,0.41395635433131495,0.7058204017985679,0.2918640474672529,1.2858029219156804,0.9684820746866171
free_fermion,1.5545,0.4139563543314325,0.7058204017981652,0.29186404746673267,1.2858029219139133,0.9684820746865597
free_fermion,1.604,0.41395635433141453,0.7058204017967853,0.29186404746537076,1.2858029219127052,0.9684820746863716
free_fermion,1.6535,0.4139563543313517,0.7058204017986862,0.2918640474673345,1.2858029219184262,0.9684820746873252
free_fermion,1.703,0.4139563543311038,0.7058204017980608,0.29186404746695704,1.2858029219161236,0.9684820746865321
free_fermion,1.7525,0.4139563543313752,0.7058204017967513,0.29186404746537614,1.285802921912329,0.9684820746862922
free_fermion,1.802,0.41395635433097233,0.7058204017974298,0.29186404746645744,1.2858029219159282,0.9684820746865247
free_fermion,1.8515,0.41395635430998345,0.7058204017772661,0.2918640474672827,1.2858029219290303,0.9684820746690094
free_fermion,1.901,0.41395635433094513,0.7058204018000875,0.2918640474691424,1.2858029219174616,0.9684820746863224
free_fermion,1.9505,0.41395635433070466,0.7058204017980136,0.291864047467309,1.2858029219157388,0.9684820746864462
free_fermion,2.0,0.41395635433172695,0.7058204017998099,0.2918640474680829,1.2858029219139018,0.968482074686199
